ubiquitous                  无处不在的，常见的，一般的，普遍的
novel                       新的，全新的
posit                       假设，假定
distinct                    有区别的，截然不同的
benefit                     使变得更好，使收益
intermediate                中间的
prune                       修剪，削减
broadly                     广泛的
auxiliary                   附加的，附属的
perplexity                  困惑度
typically                   通常，一般，典型地；具有代表性地；不出所料，果然
align                       使一致，校准
inherently                  生来，天然地，固有地
nature                      天性，本性，属性
preclude                    阻止，排除
constraint                  限制，限定，约束
compel                      迫使，使必须；引起
compelling                  引人注目的，扣人心弦的，不可抗拒的，令人信服的
integral                    不可或缺的，必需的；完整的，完备的
regard to                   顾虑，考虑
eschew                      （有意地）避开，回避，避免
logarithmic                 对数（性、式）的
albeit                      尽管；虽然
counteract                  抵消，抵制
identical                   相同的，完全一样的
employ                      使用，应用，运用
facilitate                  促进，促使，使容易
perform                     做，执行，履行；工作，表演；运转
offset                      抵消，抵制；补偿，弥补
portfolio                   文件夹
commonly                    经常地
yield                       得到，结果
mimic                       模仿
disiderata                  迫切需要的东西，必需品
dilate                      扩大，膨胀，扩张
regime                      组织方法，策略
hurt                        降低，影响，伤害
checkpoint                  检查点
sinusoidal                  正弦曲线的
modality                    形式，形态；方式；样式；情态
eigenvector                 特征向量
eigenvalue                  特征值
circumvent                  设法回避，规避，避免
in-depth                    进一步，详细的
be on par with              与同等，和平分秋色
whereas                     然而，但是
conversely                  相反地，反过来
highlight                   突出，强调
consistent                  连续的，一致的
consider                    考虑，思考
empirical                   经验主义的，以实验为依据的
notion                      观念，观点
subsume                     将归纳为，将归入
endow                       赋予
workaround                  解决方法，应对方式
elaborate                   详尽的，精心制作的
in terms of                 从...角度看，根据...来说
with regard to              关于，对于
with respect to             关于，至于
align                       使对齐，使一致
off-the-shelf               现成的，已准备好的
on-the-fly                  即时生效；在运行中
by large margins            大幅度
stem from                   来源于，出于
lag behind                  落后
from this perspective       从这个角度看
curated                     精心挑选的，刻意的
emperical comparisons       实验对比
in the sense that           在...意义上，就...而言
approach                    方法，方式，算法
progressively               逐渐地，持续稳定地
intractable                 难以处理的，很难对付的
tackle                      应付，处理，解决
solely                      仅仅，只是，单独地
extrapolate                 推断，外推
in line with                与...一致，与...相符
oscilate                    震荡，摇摆，波动
trade-off                   权衡，协调
preliminary                 初始的，开始的，预备的
prerequisite                前提，先决条件，必备条件
calibrate                   标定，校准，测度
veil                        遮住，掩盖
to this end                 为此，为了这个目标
efficacy                    有效性，效力
prevailing                  普遍的，盛行的
invariant                   不变的，恒定的
catch on                    流行，时兴；明白，懂得
hastily                     草率地，仓促地
entangle                    使陷入，使纠缠
salient                     显著的，突出的；最重要的
scarce                      稀少的，不足的，缺乏的
advanced                    先进的，高级的
substantial                 重大的，巨大的，大量的；结实的
paradigm                    范式，典范
leverage                    杠杆(撬动，减轻，缓解)
In a nutshell               简单地说
notably                     值得注意的是，值得一提的是
in this sense               在这种意义上
de facto                    事实上，实际上
caveat                      警告(需要注意)，告诫
outline                     概述；略述；显示...的轮廓，勾勒...的外形
pave the way for            为...铺开了道路
unbreakable                 牢不可破的
catastrophic                灾难性的；糟糕的；不成功的
is the case in most times   在大多数情况下都是...
strengths                   强大，优势，力量
copious                     大量的；充裕的；丰富的
case-by-case                具体分析；逐个案例；个例
give rise to                造成，引起，导致
in a myriad of              无数的
pose for                    给...带来，向...提出
intersection                交叉部分
empass(ing)                 包括，包含
intervention                干涉，干预
a deep literature on        大量关于...的文献
high-stakes                 高风险的
scenario                    场景，情景
insight                     见解，看法
deepen                      深化，加深
fine-grained                细粒度的
the march of                ...的稳步前进与发展; ...的势头依然不减
thus far                    迄今
appear to                   看起来；似乎
latch onto                  对...产生浓厚兴趣；依附于；附着于；缠住...不放
inscrutable                 令人费解的；高深莫测的
spurious                    虚假的；伪的
mitigate                    减轻；缓和
reorient                    重定位
draw upon                   借鉴；凭借，利用
hand-crafted                手工的，手工制作的
token off-the-shelf         现成的，已准备好的
the construction of         ...的构造，...的结构
exhuastive                  详尽的，筋疲力尽的
in service of               为...提供服务
empirically study           实验研究了...
that would be sound         那将是合理的
be tasked with              ...的任务是...
be censored from            ...被从...中删除
be fit with                 适用于
seek to                     旨在...，目标是...
discern                     区别，辨别
It's non-trivial to         有意义的，重要的，不平凡的
start by doing              先做某事
start with doing            从做某事开始
